Date,Performance
"Oct 31, 2014",-1.42%
"Nov 30, 2014",1.42%
"Dec 31, 2014",-0.73%
"Jan 31, 2015",0.23%
"Feb 28, 2015",1.82%
"Mar 31, 2015",-1.61%
"Apr 30, 2015",1.37%
"May 31, 2015",3.64%
"Jun 30, 2015",3.80%
"Jul 31, 2015",-2.66%
"Aug 31, 2015",-5.17%
"Sep 30, 2015",0.30%
"Oct 31, 2015",6.66%
"Nov 30, 2015",0.38%
"Dec 31, 2015",-0.59%
"Jan 31, 2016",-11.31%
"Feb 29, 2016",1.18%
"Mar 31, 2016",7.96%
"Apr 30, 2016",1.85%
"May 31, 2016",2.18%
"Jun 30, 2016",-4.58%
"Jul 31, 2016",6.37%
"Aug 31, 2016",0.40%
"Sep 30, 2016",7.64%
"Oct 31, 2016",-7.18%
"Nov 30, 2016",-3.74%
"Dec 31, 2016",1.57%
"Jan 31, 2017",5.62%
"Feb 28, 2017",4.33%
"Mar 31, 2017",3.14%
"Apr 30, 2017",4.58%
"May 31, 2017",5.67%
"Jun 30, 2017",-1.91%
"Jul 31, 2017",4.00%
"Aug 31, 2017",-1.15%
"Sep 30, 2017",4.52%
"Oct 31, 2017",-0.42%
"Nov 30, 2017",1.62%
"Dec 31, 2017",2.39%
"Jan 31, 2018",9.10%
"Feb 28, 2018",-4.55%
"Mar 31, 2018",-3.20%
"Apr 30, 2018",0.70%
"May 31, 2018",2.38%
"Jun 30, 2018",-2.62%
"Jul 31, 2018",1.69%
"Aug 31, 2018",1.08%
"Sep 30, 2018",-0.39%
"Oct 31, 2018",-14.40%
"Nov 30, 2018",-3.30%
"Dec 31, 2018",-7.87%
"Jan 31, 2019",11.10%
"Feb 28, 2019",2.87%
"Mar 31, 2019",2.01%
"Apr 30, 2019",6.78%
"May 31, 2019",-5.12%
"Jun 30, 2019",4.97%
"Jul 31, 2019",1.34%
"Aug 31, 2019",-0.30%
"Sep 30, 2019",-0.20%
"Oct 31, 2019",3.98%
"Nov 30, 2019",2.06%
"Dec 31, 2019",4.62%
"Jan 31, 2020",-1.84%
"Feb 29, 2020",-9.36%
"Mar 31, 2020",-13.64%
"Apr 30, 2020",17.46%
"May 31, 2020",13.85%
"Jun 30, 2020",1.61%
"Jul 31, 2020",7.13%
"Aug 31, 2020",9.45%
"Sep 30, 2020",2.33%
"Oct 31, 2020",-1.39%
"Nov 30, 2020",16.07%
"Dec 31, 2020",8.64%
"Jan 31, 2021",7.18%
"Feb 28, 2021",3.32%
"Mar 31, 2021",-1.72%
"Apr 30, 2021",7.28%
"May 31, 2021",1.26%
"Jun 30, 2021",1.61%
"Jul 31, 2021",0.97%
"Aug 31, 2021",4.45%
"Sep 30, 2021",-6.40%
"Oct 31, 2021",-0.36%
"Nov 30, 2021",-3.12%
"Dec 31, 2021",-0.19%
"Jan 31, 2022",-14.95%
"Feb 28, 2022",-6.38%
"Mar 31, 2022",-2.58%
"Apr 30, 2022",-12.51%
"May 31, 2022",-3.87%
"Jun 30, 2022",-15.66%
"Jul 31, 2022",10.58%
"Aug 31, 2022",-8.16%
"Sep 30, 2022",-12.36%
"Oct 31, 2022",8.74%
"Nov 30, 2022",11.04%
"Dec 31, 2022",-4.51%
"Jan 31, 2023",12.13%
"Feb 28, 2023",-3.16%
"March 31, 2023",0.28%
"April 30,2023",-0.84%
"May 31, 2023",-4.80%
"June 30, 2023",1.97%
"July 31, 2023",7.04%
"Aug 31, 2023",-5.77%
"Sep 30, 2023",-10.42%
"Oct 31, 2023",-8.43%
"Nov 30, 2023",19.93%
"Dec 31, 2023",6.80%
"Jan 31, 2024",-5.37%
"Feb 28, 2024",4.62%
"March 31, 2024",0.09%
"April 30,2024",-7.53%
"May 31, 2024",6.65%
"June 30, 2024",-1.68%
"July 31, 2024",1.80%
"Aug 31, 2024",1.95%
"Sep 30, 2024",0.46%
"Oct 31, 2024",-4.54%
"Nov 30, 2024",1.52%
"Dec 31, 2024",-1.03%
"Jan 31, 2025",3.75%
"Feb 28, 2025",3.75%
"March 31, 2025",3.75%
"April 30,2025",3.75%
"May 31, 2025",3.75%
"June 30, 2025",3.75%
