Date,Performance
"Oct 31, 2014",-1.48%
"Nov 30, 2014",1.34%
"Dec 31, 2014",-3.48%
"Jan 31, 2015",0.47%
"Feb 28, 2015",5.96%
"Mar 31, 2015",-1.52%
"Apr 30, 2015",4.09%
"May 31, 2015",-0.49%
"Jun 30, 2015",-2.85%
"Jul 31, 2015",2.08%
"Aug 31, 2015",-7.40%
"Sep 30, 2015",-5.03%
"Oct 31, 2015",7.80%
"Nov 30, 2015",-1.59%
"Dec 31, 2015",-1.37%
"Jan 31, 2016",-7.22%
"Feb 29, 2016",-1.86%
"Mar 31, 2016",6.53%
"Apr 30, 2016",2.94%
"May 31, 2016",-0.88%
"Jun 30, 2016",-3.37%
"Jul 31, 2016",5.05%
"Aug 31, 2016",0.05%
"Sep 30, 2016",1.20%
"Oct 31, 2016",-2.07%
"Nov 30, 2016",-1.99%
"Dec 31, 2016",3.39%
"Jan 31, 2017",2.88%
"Feb 28, 2017",1.41%
"Mar 31, 2017",2.78%
"Apr 30, 2017",2.57%
"May 31, 2017",3.72%
"Jun 30, 2017",-0.20%
"Jul 31, 2017",2.87%
"Aug 31, 2017",-0.06%
"Sep 30, 2017",2.47%
"Oct 31, 2017",1.51%
"Nov 30, 2017",1.02%
"Dec 31, 2017",1.58%
"Jan 31, 2018",4.98%
"Feb 28, 2018",-4.51%
"Mar 31, 2018",-1.95%
"Apr 30, 2018",2.51%
"May 31, 2018",-2.21%
"Jun 30, 2018",-1.25%
"Jul 31, 2018",2.44%
"Aug 31, 2018",-1.95%
"Sep 30, 2018",0.87%
"Oct 31, 2018",-7.99%
"Nov 30, 2018",-0.14%
"Dec 31, 2018",-4.87%
"Jan 31, 2019",6.55%
"Feb 28, 2019",2.52%
"Mar 31, 2019",0.67%
"Apr 30, 2019",2.84%
"May 31, 2019",-4.76%
"Jun 30, 2019",5.92%
"Jul 31, 2019",-1.29%
"Aug 31, 2019",-2.62%
"Sep 30, 2019",2.86%
"Oct 31, 2019",3.57%
"Nov 30, 2019",1.11%
"Dec 31, 2019",3.23%
"Jan 31, 2020",-2.11%
"Feb 29, 2020",-9.06%
"Mar 31, 2020",-13.34%
"Apr 30, 2020",6.39%
"May 31, 2020",4.45%
"Jun 30, 2020",3.39%
"Jul 31, 2020",2.32%
"Aug 31, 2020",5.13%
"Sep 30, 2020",-2.65%
"Oct 31, 2020",-3.85%
"Nov 30, 2020",15.58%
"Dec 31, 2020",4.63%
"Jan 31, 2021",-1.09%
"Feb 28, 2021",2.24%
"Mar 31, 2021",2.34%
"Apr 30, 2021",3.03%
"May 31, 2021",3.56%
"Jun 30, 2021",-1.38%
"Jul 31, 2021",0.89%
"Aug 31, 2021",1.54%
"Sep 30, 2021",-3.31%
"Oct 31, 2021",3.05%
"Nov 30, 2021",-4.53%
"Dec 31, 2021",4.83%
"Jan 31, 2022",-3.82%
"Feb 28, 2022",-3.04%
"Mar 31, 2022",-0.03%
"Apr 30, 2022",-6.43%
"May 31, 2022",1.92%
"Jun 30, 2022",-8.94%
"Jul 31, 2022",5.11%
"Aug 31, 2022",-5.87%
"Sep 30, 2022",-9.40%
"Oct 31, 2022",5.88%
"Nov 30, 2022",13.69%
"Dec 31, 2022",-1.86%
"Jan 31, 2023",8.56%
"Feb 28, 2023",-3.86%
"March 31, 2023",3.13%
"April 30,2023",2.79%
"May 31, 2023",-3.93%
"June 30, 2023",4.50%
"July 31, 2023",2.72%
"Aug 31, 2023",-3.93%
"Sep 30, 2023",-3.65%
"Oct 31, 2023",-2.90%
"Nov 30, 2023",8.22%
"Dec 31, 2023",4.05%
"Jan 31, 2024",-0.45%
"Feb 28, 2024",2.99%
"March 31, 2024",3.38%
"April 30,2024",-3.24%
"May 31, 2024",5.06%
"June 30, 2024",-3.51%
"July 31, 2024",2.59%
"Aug 31, 2024",3.26%
"Sep 30, 2024",0.78%
"Oct 31, 2024",-5.27%
"Nov 30, 2024",-0.32%
"Dec 31, 2024",-4.25%
"Jan 31, 2025",4.80%
"Feb 28, 2025",2.95%
"March 31, 2025",0.18%
"April 30,2025",3.70%
"May 31, 2025",4.79%
"June 30, 2025",4.59%
