Date,Performance
"Oct 31, 2014",-0.06%
"Nov 30, 2014",0.70%
"Dec 31, 2014",2.07%
"Jan 31, 2015",-0.72%
"Feb 28, 2015",-6.01%
"Mar 31, 2015",0.74%
"Apr 30, 2015",-3.84%
"May 31, 2015",-1.96%
"Jun 30, 2015",2.11%
"Jul 31, 2015",0.06%
"Aug 31, 2015",6.64%
"Sep 30, 2015",0.37%
"Oct 31, 2015",-5.22%
"Nov 30, 2015",-0.99%
"Dec 31, 2015",2.99%
"Jan 31, 2016",5.51%
"Feb 29, 2016",-0.09%
"Mar 31, 2016",-4.88%
"Apr 30, 2016",-3.98%
"May 31, 2016",-0.53%
"Jun 30, 2016",5.37%
"Jul 31, 2016",-4.46%
"Aug 31, 2016",-1.26%
"Sep 30, 2016",-2.42%
"Oct 31, 2016",2.82%
"Nov 30, 2016",2.51%
"Dec 31, 2016",-0.68%
"Jan 31, 2017",-4.15%
"Feb 28, 2017",-1.63%
"Mar 31, 2017",-2.08%
"Apr 30, 2017",-4.75%
"May 31, 2017",-3.41%
"Jun 30, 2017",1.64%
"Jul 31, 2017",-4.23%
"Aug 31, 2017",-0.78%
"Sep 30, 2017",-2.01%
"Oct 31, 2017",-2.61%
"Nov 30, 2017",-0.06%
"Dec 31, 2017",-2.13%
"Jan 31, 2018",-5.05%
"Feb 28, 2018",4.84%
"Mar 31, 2018",-0.15%
"Apr 30, 2018",-1.08%
"May 31, 2018",0.27%
"Jun 30, 2018",5.57%
"Jul 31, 2018",-2.83%
"Aug 31, 2018",2.14%
"Sep 30, 2018",-0.79%
"Oct 31, 2018",8.83%
"Nov 30, 2018",0.18%
"Dec 31, 2018",10.04%
"Jan 31, 2019",-9.09%
"Feb 28, 2019",-3.06%
"Mar 31, 2019",-0.71%
"Apr 30, 2019",-2.41%
"May 31, 2019",6.28%
"Jun 30, 2019",-4.06%
"Jul 31, 2019",2.52%
"Aug 31, 2019",2.44%
"Sep 30, 2019",-3.68%
"Oct 31, 2019",-4.95%
"Nov 30, 2019",-1.62%
"Dec 31, 2019",-2.89%
"Jan 31, 2020",4.70%
"Feb 29, 2020",8.67%
"Mar 31, 2020",21.01%
"Apr 30, 2020",-12.43%
"May 31, 2020",-10.31%
"Jun 30, 2020",-0.28%
"Jul 31, 2020",-3.45%
"Aug 31, 2020",-6.56%
"Sep 30, 2020",-0.39%
"Oct 31, 2020",3.56%
"Nov 30, 2020",-14.36%
"Dec 31, 2020",-5.87%
"Jan 31, 2021",0.48%
"Feb 28, 2021",-3.28%
"Mar 31, 2021",-1.64%
"Apr 30, 2021",-3.92%
"May 31, 2021",-2.10%
"Jun 30, 2021",3.53%
"Jul 31, 2021",-2.75%
"Aug 31, 2021",-2.47%
"Sep 30, 2021",4.47%
"Oct 31, 2021",-2.90%
"Nov 30, 2021",5.11%
"Dec 31, 2021",-1.13%
"Jan 31, 2022",6.21%
"Feb 28, 2022",3.87%
"Mar 31, 2022",-0.50%
"Apr 30, 2022",8.38%
"May 31, 2022",-1.88%
"Jun 30, 2022",13.56%
"Jul 31, 2022",-8.07%
"Aug 31, 2022",7.46%
"Sep 30, 2022",8.92%
"Oct 31, 2022",-5.82%
"Nov 30, 2022",-11.47%
"Dec 31, 2022",1.00%
"Jan 31, 2023",-7.18%
"Feb 28, 2023",2.90%
"March 31, 2023",-0.02%
"April 30,2023",-2.13%
"May 31, 2023",4.36%
"June 30, 2023",-1.36%
"July 31, 2023",3.91%
"Aug 31, 2023",-4.58%
"Sep 30, 2023",-4.71%
"Oct 31, 2023",8.83%
"Nov 30, 2023",5.70%
"Dec 31, 2023",-2.57%
"Jan 31, 2024",1.56%
"Feb 28, 2024",3.40%
"March 31, 2024",-3.41%
"April 30,2024",5.49%
"May 31, 2024",-4.48%
"June 30, 2024",5.11%
"July 31, 2024",1.87%
"Aug 31, 2024",2.58%
"Sep 30, 2024",-6.26%
"Oct 31, 2024",0.82%
"Nov 30, 2024",-5.05%
"Dec 31, 2024",2.98%
"Jan 31, 2025",0.51%
"Feb 28, 2025",1.03%
"March 31, 2025",4.67%
"April 30,2025",6.21%
"May 31, 2025",-0.87%
"June 30, 2025",5.57%
