Date,Performance
"Oct 31, 2014",1.43%
"Nov 30, 2014",1.82%
"Dec 31, 2014",3.05%
"Jan 31, 2015",0.23%
"Feb 28, 2015",-5.55%
"Mar 31, 2015",0.91%
"Apr 30, 2015",-5.27%
"May 31, 2015",-0.56%
"Jun 30, 2015",2.76%
"Jul 31, 2015",3.81%
"Aug 31, 2015",6.47%
"Sep 30, 2015",1.29%
"Oct 31, 2015",-4.75%
"Nov 30, 2015",-0.10%
"Dec 31, 2015",3.84%
"Jan 31, 2016",5.82%
"Feb 29, 2016",-1.80%
"Mar 31, 2016",-4.51%
"Apr 30, 2016",-5.23%
"May 31, 2016",1.30%
"Jun 30, 2016",2.48%
"Jul 31, 2016",-4.33%
"Aug 31, 2016",-0.16%
"Sep 30, 2016",-2.20%
"Oct 31, 2016",2.73%
"Nov 30, 2016",2.50%
"Dec 31, 2016",0.12%
"Jan 31, 2017",-4.90%
"Feb 28, 2017",-1.53%
"Mar 31, 2017",-2.10%
"Apr 30, 2017",-3.22%
"May 31, 2017",-2.08%
"Jun 30, 2017",0.31%
"Jul 31, 2017",-4.11%
"Aug 31, 2017",-1.27%
"Sep 30, 2017",-0.88%
"Oct 31, 2017",-2.16%
"Nov 30, 2017",0.12%
"Dec 31, 2017",-2.51%
"Jan 31, 2018",-3.92%
"Feb 28, 2018",4.72%
"Mar 31, 2018",-0.15%
"Apr 30, 2018",-0.30%
"May 31, 2018",-0.60%
"Jun 30, 2018",5.21%
"Jul 31, 2018",-2.53%
"Aug 31, 2018",3.30%
"Sep 30, 2018",0.04%
"Oct 31, 2018",9.42%
"Nov 30, 2018",-1.26%
"Dec 31, 2018",9.18%
"Jan 31, 2019",-8.35%
"Feb 28, 2019",-2.57%
"Mar 31, 2019",-0.57%
"Apr 30, 2019",-1.54%
"May 31, 2019",5.39%
"Jun 30, 2019",-5.22%
"Jul 31, 2019",3.04%
"Aug 31, 2019",3.30%
"Sep 30, 2019",-2.29%
"Oct 31, 2019",-4.34%
"Nov 30, 2019",-1.31%
"Dec 31, 2019",-3.76%
"Jan 31, 2020",4.38%
"Feb 29, 2020",8.04%
"Mar 31, 2020",23.04%
"Apr 30, 2020",-13.27%
"May 31, 2020",-9.47%
"Jun 30, 2020",-3.21%
"Jul 31, 2020",-5.90%
"Aug 31, 2020",-5.30%
"Sep 30, 2020",1.74%
"Oct 31, 2020",2.65%
"Nov 30, 2020",-13.98%
"Dec 31, 2020",-5.07%
"Jan 31, 2021",0.83%
"Feb 28, 2021",-4.06%
"Mar 31, 2021",-1.36%
"Apr 30, 2021",-4.24%
"May 31, 2021",-3.01%
"Jun 30, 2021",1.67%
"Jul 31, 2021",-1.56%
"Aug 31, 2021",-1.67%
"Sep 30, 2021",4.99%
"Oct 31, 2021",-3.46%
"Nov 30, 2021",3.83%
"Dec 31, 2021",-1.00%
"Jan 31, 2022",5.62%
"Feb 28, 2022",3.11%
"Mar 31, 2022",-1.52%
"Apr 30, 2022",8.72%
"May 31, 2022",-1.97%
"Jun 30, 2022",12.38%
"Jul 31, 2022",-6.78%
"Aug 31, 2022",5.11%
"Sep 30, 2022",9.15%
"Oct 31, 2022",-4.94%
"Nov 30, 2022",-9.99%
"Dec 31, 2022",3.88%
"Jan 31, 2023",-7.69%
"Feb 28, 2023",2.34%
"March 31, 2023",-0.01%
"April 30,2023",-1.41%
"May 31, 2023",3.11%
"June 30, 2023",-3.12%
"July 31, 2023",4.67%
"Aug 31, 2023",-4.74%
"Sep 30, 2023",-4.91%
"Oct 31, 2023",9.37%
"Nov 30, 2023",4.15%
"Dec 31, 2023",-3.13%
"Jan 31, 2024",1.57%
"Feb 28, 2024",3.23%
"March 31, 2024",-1.92%
"April 30,2024",4.56%
"May 31, 2024",-1.95%
"June 30, 2024",3.18%
"July 31, 2024",1.52%
"Aug 31, 2024",2.35%
"Sep 30, 2024",-4.65%
"Oct 31, 2024",0.14%
"Nov 30, 2024",-4.81%
"Dec 31, 2024",0.55%
"Jan 31, 2025",0.12%
"Feb 28, 2025",0.30%
"March 31, 2025",4.17%
"April 30,2025",6.04%
"May 31, 2025",2.13%
"June 30, 2025",6.39%
