Trade_Date,Clean_Name,Action,Qty,Price,Currency,Ticker
2018-04-02,Blackberry Ltd,1,300.0,10.7283,USD,BB
2018-04-02,Nokia Corp Spon A D R,1,400.0,5.37,USD,NOK
2018-04-03,Shopify Inc A,1,20.0,120.91,USD,SHOP
2018-04-03,Fanuc Corporation A D R,1,100.0,24.7,USD,FANUY
2018-04-03,Ferrari Nv,1,10.0,121.2,USD,RACE
2018-04-03,Ams Ag,1,20.0,97.78,CHF,AMS.SW
2018-04-03,Biocartis Nv,1,150.0,12.2641,EUR,BCART.BR
2018-04-03,Ucb Sa,1,20.0,65.7,EUR,UCB.BR
2018-04-04,Umicore,1,30.0,41.4,EUR,UMI.BR
2018-04-04,Schibsted Asa A-Shares,1,100.0,210.0,NOK,SCHA.OL
2018-04-04,Raysearch Laboratories Ab,1,100.0,120.526,SEK,RAY.ST
2018-04-04,Pandora A S Sponsored A D R,1,100.0,26.64,USD,PNDORA.CO
2018-04-04,Nintendo Co Ltd Unspons A D R,1,30.0,52.9,USD,NTDOY
2018-04-04,Asml Holding Nv Ny Reg Shs,1,60.0,193.72,USD,ASML
2018-04-04,Asml Holding Nv Ny Reg Shs,-1,40.0,193.43,USD,ASML
2018-04-05,Brunello Cucinelli Spa,1,100.0,26.7,EUR,BC.MI
2018-04-05,Keyence Corp,1,5.0,63045.045,JPY,6861.T
2018-04-05,Basware Oyj Npv,1,300.0,43.205,EUR,BAS1V.HE
2018-04-05,Norwegian Air Shut,1,100.0,171.6,NOK,NAS.OL
2018-04-05,Slm Solutions Group Ag,1,100.0,31.35,EUR,AM3D.DE
2018-04-05,Ovs Spa,1,300.0,4.954,EUR,OVS.MI
2018-04-05,Asos Plc,1,20.0,69.76,GBP,ASC.L
2018-04-05,Nordic Semiconductor Asa,1,400.0,46.1,NOK,NOD.OL
2018-04-05,Fagerhult Ab,1,200.0,100.6,SEK,FAG.ST
2018-04-05,Boozt Ab,1,300.0,72.5,SEK,BOOZT.ST
2018-04-05,Intrum Justitia Ab,1,100.0,228.9,SEK,INTRUM.ST
2018-04-05,G5 Entertainment Ab,1,50.0,327.0,SEK,G5EN.ST
2018-04-05,Materialise Nv A D R,1,150.0,11.76,USD,MTLS
2018-04-05,Gw Pharmaceuticals A D R,1,20.0,114.0908,USD,GWPH
2018-04-06,Sodastream International Ltd,1,200.0,94.5498,USD,SODA
2018-04-06,Groupe Fnac Sa,1,15.0,87.49998882,EUR,FNAC.PA
2018-04-06,Zalando SE,1,40.0,44.5089457,EUR,ZAL.DE
2018-04-06,Dustin Group Ab,1,150.0,72.17382975,SEK,DUST.ST
2018-04-06,Solaredge Technologies Inc,1,20.0,54.7,USD,SEDG
2018-04-09,Zalando SE,1,40.0,44.51,EUR,ZAL.DE
2018-04-09,B H P Billiton Limited A D R,1,40.0,43.65,USD,BHP
2018-04-10,Disco Corporation,1,10.0,22390.73424,JPY,6146.T
2018-04-10,Sodastream International Ltd,1,170.0,95.0,USD,SODA
2018-04-11,Sodastream International Ltd,-1,340.0,94.42,USD,SODA
2018-04-19,Shopify Inc A,1,20.0,126.85,USD,SHOP
2018-04-19,Nintendo Co Ltd Unspons A D R,1,30.0,51.18,USD,NTDOY
2018-04-19,Ferrari Nv,1,10.0,123.85,USD,RACE
2018-04-19,Cyberagent Inc Npv,1,40.0,5520.00000029,JPY,4751.T
2018-04-19,Disco Corporation,1,10.0,23210.0,JPY,6146.T
2018-04-19,Nokia Corp Spon A D R,1,400.0,5.8263,USD,NOK
2018-04-19,Asml Holding Nv Ny Reg Shs,1,10.0,199.04,USD,ASML
2018-04-19,Ucb Sa,1,20.0,66.98,EUR,UCB.BR
2018-04-19,Accesso Technology Group Plc,1,100.0,21.25,GBP,ACSO.L
2018-04-19,Umicore,1,30.0,43.0,EUR,UMI.BR
2018-04-19,Raysearch Laboratories Ab,1,100.0,126.9,SEK,RAY.ST
2018-04-19,Dustin Group Ab,1,150.0,77.0,SEK,DUST.ST
2018-04-19,Stroeer SE and Co Kgaa,1,20.0,60.6,EUR,SAX.DE
2018-04-19,Ocado Group Plc,1,300.0,5.336,GBP,OCDO.L
2018-04-20,Groupe Fnac Sa,1,15.0,93.85,EUR,FNAC.PA
2018-04-20,Ams Ag,1,20.0,96.98,CHF,AMS.SW
2018-04-20,Ovs Spa,1,300.0,3.5640156,EUR,OVS.MI
2018-04-20,Solaredge Technologies Inc,-1,20.0,55.1,USD,SEDG
2018-04-23,Elbit Systems Ltd,1,20.0,124.79,USD,ESLT
2018-04-24,Blackberry Ltd,1,200.0,10.54,USD,BB
2018-04-24,Askul Corp Npv,1,100.0,3430.0,JPY,2678.T
2018-04-24,Cyberagent Inc Npv,1,50.0,5420.0,JPY,4751.T
2018-04-25,Stroeer SE and Co Kgaa,1,20.0,59.8,EUR,SAX.DE
2018-04-25,Asos Plc,1,20.0,60.32,GBP,ASC.L
2018-04-25,B H P Billiton Limited A D R,1,40.0,46.9,USD,BHP
2018-04-26,Materialise Nv A D R,1,100.0,12.15,USD,MTLS
2018-04-26,Shopify Inc A,1,20.0,124.59,USD,SHOP
2018-04-26,Blackberry Ltd,1,200.0,10.495,USD,BB
2018-04-27,Biocartis Nv,1,150.0,0.83821181,EUR,BCART.BR
2018-04-27,Boozt Ab,1,300.0,80.038,SEK,BOOZT.ST
2018-04-27,Nordic Semiconductor Asa,1,300.0,49.5,NOK,NOD.OL
2018-04-27,Ocado Group Plc,1,300.0,0.83539823,EUR,OCDO.L
2018-04-30,Air France Klm,1,300.0,8.216,EUR,AF.PA
2018-05-03,B H P Billiton Limited A D R,1,80.0,46.95,USD,BHP
2018-05-03,Ferrari Nv,1,20.0,126.57,USD,RACE
2018-05-03,Gw Pharmaceuticals A D R,1,20.0,136.022,USD,GWPH
2018-05-03,Asml Holding Nv Ny Reg Shs,1,30.0,191.21,USD,ASML
2018-05-03,Sodastream International Ltd,1,30.0,86.62,USD,SODA
2018-05-03,Nintendo Co Ltd Unspons A D R,1,60.0,52.04,USD,NTDOY
2018-05-03,Shopify Inc A,1,60.0,126.95,USD,SHOP
2018-05-03,Fanuc Corporation A D R,1,100.0,21.41,USD,FANUY
2018-05-03,Elbit Systems Ltd,1,20.0,113.74,USD,ESLT
2018-05-03,Materialise Nv A D R,1,250.0,11.959,USD,MTLS
2018-05-03,Blackberry Ltd,1,700.0,10.7986,USD,BB
2018-05-03,Nokia Corp Spon A D R,1,800.0,5.815,USD,NOK
2018-05-03,Accesso Technology Group Plc,1,100.0,22.15,GBP,ACSO.L
2018-05-03,Ocado Group Plc,1,600.0,5.74,GBP,OCDO.L
2018-05-03,Asos Plc,1,40.0,60.6,GBP,ASC.L
2018-05-03,Entertainment One Ltd,1,2000.0,2.83,GBP,ETO.L
2018-05-03,Keyence Corp,1,5.0,68960.595,JPY,6861.T
2018-05-03,Pandora A S Sponsored A D R,1,100.0,27.59,USD,PNDORA.CO
2018-05-03,Nordic Semiconductor Asa,1,700.0,52.7,NOK,NOD.OL
2018-05-03,Zalando SE,1,80.0,43.07,EUR,ZAL.DE
2018-05-03,Schibsted Asa A-Shares,1,100.0,232.4,NOK,SCHA.OL
2018-05-03,Norwegian Air Shut,1,100.0,302.2,NOK,NAS.OL
