Trade_Date,Clean_Name,Ticker,Action,Qty,Price,Currency,FX_Rate_to_USD,Price_USD,Transaction_Value_USD
2018-04-02,Blackberry Ltd,BB,1,300.0,10.7283,USD,1.0,10.7283,3218.49
2018-04-02,Nokia Corp Spon A D R,NOK,1,400.0,5.37,USD,1.0,5.37,2148.0
2018-04-03,Shopify Inc A,SHOP,1,20.0,120.91,USD,1.0,120.91,2418.2
2018-04-03,Fanuc Corporation A D R,FANUY,1,100.0,24.7,USD,1.0,24.7,2470.0
2018-04-03,Ferrari Nv,RACE,1,10.0,121.2,USD,1.0,121.2,1212.0
2018-04-03,Ams Ag,AMS.SW,1,20.0,97.78,CHF,1.04712,102.3874,2047.75
2018-04-03,Biocartis Nv,BCART.BR,1,150.0,12.2641,EUR,1.229271,15.0759,2261.39
2018-04-03,Ucb Sa,UCB.BR,1,20.0,65.7,EUR,1.229271,80.7631,1615.26
2018-04-04,Umicore,UMI.BR,1,30.0,41.4,EUR,1.227853,50.8331,1524.99
2018-04-04,Schibsted Asa A-Shares,SCHA.OL,1,100.0,210.0,NOK,0.127679,26.8127,2681.27
2018-04-04,Raysearch Laboratories Ab,RAY.ST,1,100.0,120.526,SEK,0.119211,14.368,1436.8
2018-04-04,Pandora A S Sponsored A D R,PNDORA.CO,1,100.0,26.64,USD,1.0,26.64,2664.0
2018-04-04,Nintendo Co Ltd Unspons A D R,NTDOY,1,30.0,52.9,USD,1.0,52.9,1587.0
2018-04-04,Asml Holding Nv Ny Reg Shs,ASML,1,60.0,193.72,USD,1.0,193.72,11623.2
2018-04-04,Asml Holding Nv Ny Reg Shs,ASML,-1 ,40.0,193.43,USD,1.0,193.43,7737.2
2018-04-05,Brunello Cucinelli Spa,BC.MI,1,100.0,26.7,EUR,1.228682,32.8058,3280.58
2018-04-05,Keyence Corp,6861.T,1,5.0,63045.045,JPY,0.009366,590.4531,2952.27
2018-04-05,Basware Oyj Npv,BAS1V.HE,1,300.0,43.205,EUR,1.228682,53.0852,15925.56
2018-04-05,Norwegian Air Shut,NAS.OL,1,100.0,171.6,NOK,0.127922,21.9513,2195.13
2018-04-05,Slm Solutions Group Ag,AM3D.DE,1,100.0,31.35,EUR,1.228682,38.5192,3851.92
2018-04-05,Ovs Spa,OVS.MI,1,300.0,4.954,EUR,1.228682,6.0869,1826.07
