,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48
vix,0.0017120097685994187,-0.02999727132115633,0.2157596632397062,0.042179573145816225,-0.39296234408499187,-0.047700579190938494,-0.006749205885915761,0.2588455766022015,-0.11234914267509905,0.1141971008528478,-0.17092526823330703,0.08328103592754112,-0.26663669040649707,0.06231598196864666,-0.11581128979447998,0.13871195033642048,-0.23955620549048084,0.2334231264943066,-0.0635980000496508,0.030240620867304755,0.1401989928376127,0.23264060505455758,-0.1498629071926196,-0.07307799455656318,-0.09835283966275812,-0.06721131231617279,-0.2113158158702298,0.13405474220258282,0.24529611850144573,-0.22695916409835062,-0.024232891437885363,-0.2810909411588668,-0.21435383521530074,0.04133174428353624,0.030027839979384713,0.11000557574829824,0.015372182491834262,0.0027044628570518188,0.043711960182436775,0.026017690362305817,0.038782929536745385,0.04912809490038993,0.03100200668325716,0.03248463843619265,0.040365110234592945,0.004453133609215807,0.0,0.0
vix_chg,-0.01690040028881652,-0.00881760688117067,0.045756341209876816,-0.228679989206878,-0.3630094461892708,0.1496977447200212,0.11837611488545338,-0.045471646810171774,0.14339633175822455,0.16032791931391688,0.1185820204588994,0.496481933844905,0.11893791251717713,-0.20118528311401973,-0.1494722967808449,0.1466859717885179,-0.1227925422012295,0.04244629097754826,-0.3829806423262785,0.042335865032339916,-0.09822949760699409,-0.17100288999481347,-0.03908856549095142,0.19186264867941513,0.07597280028779965,0.02598907902252893,-0.012320439358092142,-0.09730003718372979,-0.17630021092285422,0.1672316766834505,0.1259025494826737,0.14686561910367946,-0.04318320190362293,-0.08240837527034289,0.014779163489130075,-0.021617877730961854,0.020264335878372286,-0.02264505625371043,-0.014217651399957537,-0.02794838098609736,0.03659229280971737,-0.043117716934177236,0.006005943737481737,-0.0054762100563781856,-0.006088974430996274,-0.0041167055189492,2.5760643618255585e-16,-1.6479873021779667e-16
cpi_yoy,-0.03593128631280316,-0.307914188058212,0.009521621510846012,-0.027409365675024437,-0.004323978878602142,0.026218738508041406,-0.04702740742896405,-0.033881717843835174,-0.14919529238446766,0.08725961711163793,-0.13828173701759414,-0.05401762381094734,-0.004993442741465381,-0.11521848535623941,0.008961741864728291,-0.01637069876011247,-0.07221135193121472,0.05403189339180402,-0.012462611366376906,-0.08976382058297593,0.04439424921948722,0.03422014931797386,0.11331920163107276,-0.08710825755084273,0.040875776317600185,0.11136111872706797,-0.060178078937250135,-0.15330610785135743,-0.015645435613159148,-0.1721360471982517,0.15575674071865772,0.3413147376112434,-0.052765287354515786,0.23254576667630988,-0.11654207756327929,0.1354821248438881,-0.0858905687709593,-0.033308206049047204,0.2569985018448099,-0.09752009241216733,-0.19171701344013747,0.0023419534678364093,-0.004319978922308612,-0.2976711301541882,-0.16712951887122968,-0.5054886245506922,-8.215033685528614e-16,-6.864988577413582e-15
core_cpi_yoy,-0.050876530705586315,-0.3046433881172702,0.03811235677852612,-0.030723704382723357,0.014783615333600342,0.018928987414887025,-0.07114846894000709,-0.01593594579826335,-0.08982873417297707,0.015514604676602872,-0.14573576132676003,-0.005032773353113473,-0.01975127381155134,-0.04239293570048381,0.038952823818426616,0.02970066877550802,-0.08230893533838836,0.13906237836369603,0.07622613691087181,-0.08229937960508421,0.04327903408444886,-0.19295896718836303,0.1665339277516481,0.06842086061019235,-0.05048956487782216,0.1336197616507415,-0.1458550982289225,0.029876191785089292,-0.03864700371711416,0.23808946102024653,0.1614891156532715,-0.19501737271947667,0.14742878055611452,0.05346208402592324,0.0004531157398750714,-0.01721687384864686,-0.09260546252323086,-0.24079691424558541,-0.18006158625187452,0.5244579565650753,-0.26947309965839267,0.09027204746240439,0.05601699244649949,-0.16649151175263616,-0.059763524733987536,0.2701004178887026,-1.5944879118853255e-15,4.542056674291718e-15
pce_yoy,-0.021401128420888288,-0.3121259536234771,0.004615735925356634,-0.020224770083914073,-0.0019720203628030286,0.010838815172991616,-0.04868614961248172,-0.0325997023024035,-0.13910124289726944,0.07761060703940026,-0.10988720804815541,-0.04874394978992838,-0.02092487545121341,-0.07891194400902313,0.026541732363225254,0.014989389025356625,-0.04319646593967827,0.009307778554794185,-0.030650985494464805,-0.06824576246890517,0.028205328643696397,0.06817544562852224,0.011868644246072493,-0.13382869457448898,0.061314605989832516,0.06921725677557515,0.02680321854202125,-0.15522170280695516,0.034754176755423166,-0.10742894509589883,0.04143114951813735,0.33254039013154996,-0.08460213368664572,0.07548063967080504,-0.08921409326475371,-0.030906542705157948,0.10653591665562395,0.12932248482544115,0.11604436790168388,-0.1992258141059363,0.02786867595249312,-0.12994216271690653,-0.10669026653397969,0.16804069899886592,0.02364951681291988,0.7074033958286035,-5.208798868938567e-16,1.0568819230323336e-14
core_pce_yoy,-0.01779882723296644,-0.3139858225064738,0.015247029357941977,-0.02466775533232124,0.01383589428524977,0.006904835255842567,-0.05863545858213371,-0.016425648271864827,-0.10473511354590734,0.029451807596570595,-0.10159591535710544,-0.015046721195588628,-0.04492095658439649,-0.001216375778370353,0.059918210634870676,0.04441719447300717,-0.04535675961254239,0.043345812938137905,0.008576429002093464,-0.04931262194975943,0.037688350948000805,-0.031405279194948774,0.0012422430615291469,-0.08173443207351372,0.020663245965923498,0.06584657877112102,0.0003260909857975246,-0.05024245427489743,0.0495702610541181,0.15958563416208238,0.045862244045444464,0.02952765888881259,0.05344677971032638,-0.09554071880399985,0.01504742437537559,-0.17307079855542315,0.19752183207503005,0.03885488637086333,-0.2446028720347344,0.011892647793485301,-0.07887962729043821,-0.11119471692606521,-0.030331607191010447,0.6491490206735079,0.27254382145493883,-0.393422689022675,5.4955397287869546e-15,-8.047746163783173e-15
m2_yoy,0.20815007884722594,0.048918833352173174,0.10180175052418569,0.16957868687023558,-0.10104004942035967,-0.14192618580399427,0.1556272057842902,-0.09969211285074547,0.04119742080877549,0.11317085465399868,0.09738484787400291,0.0006748237590951667,0.09294691287786877,0.007382480296803107,0.018748740489837046,0.2737603211811289,-0.035438963201269824,-0.12653927926834455,0.24434139112048414,0.01931596537365384,-0.26195906363413185,0.05789900389110839,-0.2572342291935465,0.1845175460710301,0.04092117374735803,0.21276401378440957,0.08012107821758616,-0.1376139888568195,0.04100101895770181,-0.14497785005393005,-0.20339765028801313,0.02721134749877696,-0.1344800027155702,-0.013163020447954504,-0.2630967142853846,-0.1490884363540602,-0.15584943505355472,0.035620541315163984,0.0896844562171743,0.2049457208286621,-0.39633021924682293,-0.03880902986128702,-0.04859082173883822,0.08783855963700038,0.04494428046579636,0.005916565960454558,9.723418070156455e-16,2.599904288956125e-16
y10,-0.17272411328559148,-0.14003775541797728,-0.19823414673614584,-0.08371428744615839,0.02341195218206231,-0.09500541583126913,-0.13560728790566542,-0.11652332666062482,-0.08262974871815262,0.06279976720946652,0.04118470098857406,-0.024775209868100778,-0.03930076772005947,0.10877682842022879,-0.0693990594743828,0.07300102779797138,-0.11436559504236654,-0.22894166372243488,0.0077732158199701785,0.2261373496565191,-0.032002733220689236,-0.16769882866636546,-0.3295591834431486,0.015360499737931087,0.07115306837815993,0.056709764255235856,-0.005939071906484107,0.058775362829163666,0.1997220645599243,0.07417036099574008,0.057772171829628696,-0.06328750339007526,0.04777050903282781,0.0047934718722832635,0.02604278167776953,0.05266557486192039,0.023361175754369176,-0.07690934247296392,0.08219739973483912,-0.07369611637414408,0.0519467637236688,0.07512489075469872,-0.0022630351339023823,-0.049599687190514705,-0.019043485097293537,-0.003514786816732484,0.28994124968864354,0.6223071111510733
y2,-0.21713508879009605,-0.1195697137158428,-0.12570699314074085,-0.07639091117867475,0.03514490298613784,-0.09231807454719976,-0.17362466266901086,-0.09922077375584093,-0.009225096400504562,0.033591874277746764,-0.00247488847044508,0.017220901720372953,-0.016317750194721536,-0.023513740951398576,0.0223125104741259,0.05980851112226655,-0.08741397903018405,-0.0952130967421354,0.09298742306606797,0.13294115545878682,-0.09155143679675865,-0.19963238331239758,-0.1291615948879641,0.08744589526336066,0.03520954140970218,0.09629181161301321,-0.0291428682236278,0.04283652696751376,0.10861356851511624,-0.031752250069411805,-0.01603492379373847,-0.1234395141003154,-0.07623924293809232,-0.004916752887503026,0.060658558837541704,0.0008008329525164143,-0.027816558900722724,0.019797122073463583,0.07342455931587814,-0.09368424975593367,0.10392684550469893,0.0454185625987495,0.009821989101314554,-0.02388583634818632,0.0030877537663819704,-0.011866214311984697,-0.7995259056865978,-0.16093375520944614
y3m,-0.24574295614651653,-0.04942144298358683,-0.1202964424739637,-0.045674021718177325,0.0708885532205676,-0.05005455705719819,-0.07429254528370947,-0.05522864783286796,0.16625854417184835,0.020759728441671566,0.061611799832541725,0.12317886693517074,-0.04380074631108574,0.06960143464853483,0.09828749084189331,0.14963425289075719,-0.0018187704108807712,-0.14683842963665766,-0.0031426604009190395,0.08285908056797761,0.07266603292470261,-0.03602764372801584,-0.1916017082299058,-0.157943056057116,0.18151280308089937,0.05352207080796242,-0.014453252188908809,0.029179865313081386,0.24675077574584509,0.017213702425685498,0.05641517418602496,-0.017958971672680485,0.01662168653581883,0.04768076920592379,0.019223839248354673,-0.0038427219787424832,-0.012345085385733251,-0.12458941059619795,0.053671077651421775,0.0009202207813176801,-0.014242869318242191,0.04788694705026966,-0.012616883942074551,-0.014845125932893308,-0.020322213696464923,0.003734142071390746,0.3781363435096843,-0.672784856781155
