Ticker,Name,Sector,Location,Exchange,Currency,Weight (%),YF_Ticker
NVDA,NVIDIA CORP,Information Technology,United States,NASDAQ,USD,5.19,NVDA
AAPL,APPLE INC,Information Technology,United States,NASDAQ,USD,4.66,AAPL
MSFT,MICROSOFT CORP,Information Technology,United States,NASDAQ,USD,3.21,MSFT
AMZN,AMAZON COM INC,Consumer Discretionary,United States,NASDAQ,USD,2.44,AMZN
GOOGL,ALPHABET INC CLASS A,Communication,United States,NASDAQ,USD,2.03,GOOGL
AVGO,BROADCOM INC,Information Technology,United States,NASDAQ,USD,1.73,AVGO
GOOG,ALPHABET INC CLASS C,Communication,United States,NASDAQ,USD,1.7,GOOG
META,META PLATFORMS INC CLASS A,Communication,United States,NASDAQ,USD,1.46,META
TSLA,TESLA INC,Consumer Discretionary,United States,NASDAQ,USD,1.3,TSLA
JPM,JPMORGAN CHASE & CO,Financials,United States,NYSE,USD,0.98,JPM
XOM,EXXON MOBIL CORP,Energy,United States,NYSE,USD,0.92,XOM
LLY,ELI LILLY,Health Care,United States,NYSE,USD,0.9,LLY
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,United States,NYSE,USD,0.82,BRKB
JNJ,JOHNSON & JOHNSON,Health Care,United States,NYSE,USD,0.73,JNJ
WMT,WALMART INC,Consumer Staples,United States,NASDAQ,USD,0.69,WMT
ASML,ASML HOLDING NV,Information Technology,Netherlands,Euronext Amsterdam,USD,0.65,ASML.AS
V,VISA INC CLASS A,Financials,United States,NYSE,USD,0.64,V
COST,COSTCO WHOLESALE CORP,Consumer Staples,United States,NASDAQ,USD,0.55,COST
MA,MASTERCARD INC CLASS A,Financials,United States,NYSE,USD,0.53,MA
CVX,CHEVRON CORP,Energy,United States,NYSE,USD,0.52,CVX
MU,MICRON TECHNOLOGY INC,Information Technology,United States,NASDAQ,USD,0.51,MU
NFLX,NETFLIX INC,Communication,United States,NASDAQ,USD,0.51,NFLX
ABBV,ABBVIE INC,Health Care,United States,NYSE,USD,0.47,ABBV
PG,PROCTER & GAMBLE,Consumer Staples,United States,NYSE,USD,0.42,PG
AMD,ADVANCED MICRO DEVICES INC,Information Technology,United States,NASDAQ,USD,0.42,AMD
CAT,CATERPILLAR INC,Industrials,United States,NYSE,USD,0.42,CAT
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,United States,NASDAQ,USD,0.41,PLTR
BAC,BANK OF AMERICA CORP,Financials,United States,NYSE,USD,0.41,BAC
HD,HOME DEPOT INC,Consumer Discretionary,United States,NYSE,USD,0.41,HD
CSCO,CISCO SYSTEMS INC,Information Technology,United States,NASDAQ,USD,0.4,CSCO
KO,COCA-COLA,Consumer Staples,United States,NYSE,USD,0.39,KO
MRK,MERCK & CO INC,Health Care,United States,NYSE,USD,0.38,MRK
GE,GE AEROSPACE,Industrials,United States,NYSE,USD,0.38,GE
AZN,ASTRAZENECA PLC,Health Care,United Kingdom,London Stock Exchange,USD,0.37,AZN.L
NOVN,NOVARTIS AG,Health Care,Switzerland,SIX Swiss Exchange,USD,0.36,NOVN.SW
ROP,ROCHE PS PAR AG,Health Care,Switzerland,SIX Swiss Exchange,USD,0.35,ROP.SW
HSBA,HSBC HOLDINGS PLC,Financials,United Kingdom,London Stock Exchange,USD,0.35,HSBA.L
AMAT,APPLIED MATERIAL INC,Information Technology,United States,NASDAQ,USD,0.34,AMAT
SHEL,SHELL PLC,Energy,United Kingdom,London Stock Exchange,USD,0.34,SHEL.L
LRCX,LAM RESEARCH CORP,Information Technology,United States,NASDAQ,USD,0.34,LRCX
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,United States,NYSE,USD,0.32,PM
RTX,RTX CORP,Industrials,United States,NYSE,USD,0.32,RTX
NESN,NESTLE SA,Consumer Staples,Switzerland,SIX Swiss Exchange,USD,0.31,NESN.SW
GS,GOLDMAN SACHS GROUP INC,Financials,United States,NYSE,USD,0.31,GS
WFC,WELLS FARGO,Financials,United States,NYSE,USD,0.31,WFC
ORCL,ORACLE CORP,Information Technology,United States,NYSE,USD,0.3,ORCL
UNH,UNITEDHEALTH GROUP INC,Health Care,United States,NYSE,USD,0.3,UNH
GEV,GE VERNOVA INC,Industrials,United States,NYSE,USD,0.3,GEV
LIN,LINDE PLC,Materials,United States,NASDAQ,USD,0.29,LIN
RY,ROYAL BANK OF CANADA,Financials,Canada,Toronto Stock Exchange,USD,0.28,RY.TO
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,United States,NYSE,USD,0.28,IBM
MCD,MCDONALDS CORP,Consumer Discretionary,United States,NYSE,USD,0.28,MCD
VZ,VERIZON COMMUNICATIONS INC,Communication,United States,NYSE,USD,0.27,VZ
PEP,PEPSICO INC,Consumer Staples,United States,NASDAQ,USD,0.27,PEP
T,AT&T INC,Communication,United States,NYSE,USD,0.26,T
7203,TOYOTA MOTOR CORP,Consumer Discretionary,Japan,Tokyo Stock Exchange,USD,0.26,7203.T
CBA,COMMONWEALTH BANK OF AUSTRALIA,Financials,Australia,Asx - All Markets,USD,0.26,CBA.AX
INTC,INTEL CORPORATION CORP,Information Technology,United States,NASDAQ,USD,0.25,INTC
C,CITIGROUP INC,Financials,United States,NYSE,USD,0.24,C
8306,MITSUBISHI UFJ FINANCIAL GROUP INC,Financials,Japan,Tokyo Stock Exchange,USD,0.24,8306.T
KLAC,KLA CORP,Information Technology,United States,NASDAQ,USD,0.24,KLAC
MS,MORGAN STANLEY,Financials,United States,NYSE,USD,0.24,MS
NEE,NEXTERA ENERGY INC,Utilities,United States,NYSE,USD,0.24,NEE
AMGN,AMGEN INC,Health Care,United States,NASDAQ,USD,0.24,AMGN
ABT,ABBOTT LABORATORIES,Health Care,United States,NYSE,USD,0.23,ABT
TTE,TOTALENERGIES,Energy,France,Nyse Euronext - Euronext Paris,USD,0.23,TTE.PA
SIE,SIEMENS N AG,Industrials,Germany,Xetra,USD,0.23,SIE.DE
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,United States,NYSE,USD,0.23,TMO
BHP,BHP GROUP LTD,Materials,Australia,Asx - All Markets,USD,0.22,BHP.AX
TJX,TJX INC,Consumer Discretionary,United States,NYSE,USD,0.22,TJX
TXN,TEXAS INSTRUMENT INC,Information Technology,United States,NASDAQ,USD,0.22,TXN
SAP,SAP,Information Technology,Germany,Xetra,USD,0.22,SAP.DE
CRM,SALESFORCE INC,Information Technology,United States,NYSE,USD,0.21,CRM
COP,CONOCOPHILLIPS,Energy,United States,NYSE,USD,0.21,COP
GILD,GILEAD SCIENCES INC,Health Care,United States,NASDAQ,USD,0.21,GILD
DIS,WALT DISNEY,Communication,United States,NYSE,USD,0.21,DIS
AXP,AMERICAN EXPRESS,Financials,United States,NYSE,USD,0.21,AXP
ISRG,INTUITIVE SURGICAL INC,Health Care,United States,NASDAQ,USD,0.21,ISRG
SAN,BANCO SANTANDER SA,Financials,Spain,Bolsa De Madrid,USD,0.2,SAN.MC
SCHW,CHARLES SCHWAB CORP,Financials,United States,NYSE,USD,0.2,SCHW
ALV,ALLIANZ,Financials,Germany,Xetra,USD,0.2,ALV.DE
TD,TORONTO DOMINION,Financials,Canada,Toronto Stock Exchange,USD,0.2,TD.TO
PFE,PFIZER INC,Health Care,United States,NYSE,USD,0.19,PFE
ADI,ANALOG DEVICES INC,Information Technology,United States,NASDAQ,USD,0.19,ADI
APH,AMPHENOL CORP CLASS A,Information Technology,United States,NYSE,USD,0.19,APH
BA,BOEING,Industrials,United States,NYSE,USD,0.19,BA
