Date Posted,Activity,Description,Principal Cash
04/04/18,Purchase,"Purchased 94,626.51 Units Of -94,626.51 94,626.51","5,373.49"
04/04/18,Purchase,"Purchased 300 Shares Of -3,221.49 3,221.49","2,152.00"
04/04/18,Purchase,"Purchased 400 Shares Of -2,152.00 2,152.00",0.00
04/05/18,Sale,"Sold 12,038.92 Units Of 12,038.92 -12,038.92","12,038.92"
04/05/18,Purchase,"Purchased 1,840.54 Units Of -2,270.33 2,270.33","9,768.59"
04/05/18,Purchase,"Purchased 1,314.66 Units Of -1,621.65 1,621.65","8,146.94"
04/05/18,Purchase,"Purchased 1,956.58 Units Of -2,045.44 2,045.44","6,101.50"
04/05/18,Purchase,"Purchased 20 Shares Of -2,418.40 2,418.40","3,683.10"
04/05/18,Purchase,"Purchased 100 Shares Of -2,471.00 2,471.00","1,212.10"
04/05/18,Purchase,"Purchased 10 Shares Of -1,212.10 1,212.10",0.00
04/05/18,Purchase,"Purchased 20 Shares Of -2,048.88 2,048.88","-2,048.88"
04/05/18,Purchase,"Purchased 150 Shares Of -2,265.61 2,265.61","-4,314.49"
04/05/18,Purchase,"Purchased 20 Shares Of -1,618.28 1,618.28","-5,932.77"
04/06/18,Sale,"Sold 13,803.95 Units Of 13,803.95 -13,803.95","13,803.95"
04/06/18,Purchase,"Purchased 1,242.62 Units Of -1,532.66 1,532.66","12,271.29"
04/06/18,Purchase,"Purchased 21,010.50 Units Of -2,692.80 2,692.80","9,578.49"
04/06/18,Purchase,"Purchased 12,058.63 Units Of -1,439.01 1,439.01","8,139.48"
04/06/18,Purchase,"Purchased 60 Shares Of -11,623.80 11,623.80","-3,484.32"
04/06/18,Purchase,"Purchased 30 Shares Of -1,587.30 1,587.30","-5,071.62"
04/06/18,Purchase,"Purchased 100 Shares Of -2,665.00 2,665.00","-7,736.62"
04/06/18,Sale,"Sold 40 Shares Of 7,736.62 -7,749.20",0.00
04/06/18,Purchase,"Purchased 100 Shares Of -1,440.68 1,440.68","-1,440.68"
04/06/18,Purchase,"Purchased 100 Shares Of -2,682.20 2,682.20","-4,122.88"
04/06/18,Purchase,"Purchased 30 Shares Of -1,525.19 1,525.19","-5,648.07"
04/09/18,Sale,"Sold 50,713.34 Units Of 50,713.34 -50,713.34","50,713.34"
04/09/18,Purchase,"Purchased 16,358.18 Units Of -1,946.72 1,946.72","48,766.62"
04/09/18,Purchase,"Purchased 21,760.88 Units Of -2,589.70 2,589.70","46,176.92"
04/09/18,Purchase,"Purchased 22,901.45 Units Of -2,724.37 2,724.37","43,452.55"
04/09/18,Purchase,"Purchased 20,130.06 Units Of -2,393.89 2,393.89","41,058.66"
04/09/18,Purchase,"Purchased 3,136.57 Units Of -3,857.21 3,857.21","37,201.45"
04/09/18,Purchase,"Purchased 2,109.05 Units Of -2,594.04 2,594.04","34,607.41"
04/09/18,Purchase,"Purchased 2,674.01 Units Of -3,288.38 3,288.38","31,319.03"
04/09/18,Purchase,"Purchased 1,488.43 Units Of -1,830.11 1,830.11","29,488.92"
04/09/18,Purchase,"Purchased 18,449.22 Units Of -2,362.78 2,362.78","27,126.14"
04/09/18,Purchase,"Purchased 17,168.58 Units Of -2,198.89 2,198.89","24,927.25"
04/09/18,Purchase,"Purchased 12,967.98 Units Of -15,950.03 15,950.03","8,977.22"
04/09/18,Purchase,"Purchased 1,395.90 Units Of -1,970.90 1,970.90","7,006.32"
04/09/18,Purchase,"Purchased 20 Shares Of -2,282.02 2,282.02","4,724.30"
04/09/18,Purchase,"Purchased 150 Shares Of -1,765.50 1,765.50","2,958.80"
04/09/18,Purchase,"Purchased 50 Shares Of -1,945.73 1,945.73","1,013.07"
04/09/18,Purchase,"Purchased 100 Shares Of -2,724.03 2,724.03","-1,710.96"
04/09/18,Purchase,"Purchased 300 Shares Of -2,588.36 2,588.36","-4,299.32"
04/09/18,Purchase,"Purchased 200 Shares Of -2,394.38 2,394.38","-6,693.70"
04/09/18,Purchase,"Purchased 5 Shares Of -2,593.92 2,593.92","-9,287.62"
04/09/18,Purchase,"Purchased 20 Shares Of -1,966.06 1,966.06","-11,253.68"
04/09/18,Purchase,"Purchased 400 Shares Of -2,355.76 2,355.76","-13,609.44"
04/09/18,Purchase,"Purchased 100 Shares Of -3,288.77 3,288.77","-16,898.21"
04/09/18,Purchase,"Purchased 300 Shares Of -1,830.62 1,830.62","-18,728.83"
04/09/18,Purchase,"Purchased 100 Shares Of -3,857.67 3,857.67","-22,586.50"
04/09/18,Purchase,"Purchased 100 Shares Of -2,192.23 2,192.23","-24,778.73"
04/09/18,Purchase,"Purchased 300 Shares Of -15,949.32 15,949.32","-40,728.05"
04/10/18,Sale,"Sold 18,070.3 Units Of 18,070.30 -18,070.30","21,029.10"
04/10/18,Purchase,"Purchased 15 Shares Of -1,609.56 1,609.56","19,419.54"
04/10/18,Purchase,"Purchased 40 Shares Of -2,178.00 2,178.00","17,241.54"
04/10/18,Purchase,"Purchased 150 Shares Of -1,288.65 1,288.65","15,952.89"
04/10/18,Purchase,"Purchased 200 Shares Of -18,911.96 18,911.96","-2,959.07"
04/10/18,Purchase,"Purchased 20 Shares Of -1,094.20 1,094.20","-4,053.27"
04/11/18,Purchase,"Purchased 40 Shares Of -1,746.40 1,746.40","-5,799.67"
04/12/18,Purchase,"Purchased 170 Shares Of -16,151.70 16,151.70","-21,951.37"
04/12/18,Purchase,"Purchased 40 Shares Of -2,195.32 2,184.13","-24,146.69"
04/13/18,Purchase,"Purchased 2,901.35 Units Of -2,901.35 2,901.35","-27,048.04"
04/13/18,Purchase,"Purchased 10 Shares Of -2,091.81 2,091.81","-29,139.85"
04/13/18,Purchase,"Purchased 5 Shares Of -2,958.80 2,958.80","-32,098.65"
04/13/18,Sale,"Sold 340 Shares Of 32,098.65 -32,226.87",0.00
04/18/18,Purchase,"Purchased 3,000 Units Of -3,000.00 3,000.00",0.00
04/19/18,Sale,"Sold 3,000 Units Of 3,000.00 -3,000.00",0.00
04/20/18,Purchase,"Purchased 45,750 Units Of -45,750.00 45,750.00",0.00
04/23/18,Sale,"Sold 21,801.26 Units Of 21,801.26 -21,801.26","22,584.38"
04/23/18,Purchase,"Purchased 300 Shares Of -2,284.84 2,291.20","20,299.54"
04/23/18,Purchase,"Purchased 20 Shares Of -1,496.52 1,493.63","18,803.02"
04/23/18,Purchase,"Purchased 150 Shares Of -1,378.77 1,376.81","17,424.25"
