Date Posted,Activity,Description,Principal Cash
04/04/18,Purchase,"Purchased 94,626.51 Units Of -94,626.51 94,626.51 First Am Govt Ob Fd Cl X Trade Date 4/4/18","5,373.49"
04/04/18,Purchase,"Purchased 300 Shares Of -3,221.49 3,221.49 Blackberry Ltd Trade Date 4/2/18 Purchased Through J.P. Morgan Securities LLC Paid 3.00 USD Brokerage 300 Shares At 10.7283 USD","2,152.00"
04/04/18,Purchase,"Purchased 400 Shares Of -2,152.00 2,152.00 Nokia Corp Spon A D R Trade Date 4/2/18 Purchased Through J.P. Morgan Securities LLC Paid 4.00 USD Brokerage Purchased On The New York Stock Exchange, Inc. 400 Shares At 5.37 USD",0.00
04/05/18,Sale,"Sold 12,038.92 Units Of 12,038.92 -12,038.92 First Am Govt Ob Fd Cl X Trade Date 4/5/18","12,038.92"
04/05/18,Purchase,"Purchased 1,840.54 Units Of -2,270.33 2,270.33 Euro Trade Date 4/4/18 Value Date 4/5/18 Book Value 1,840.54 EUR Traded At 0.81069272 EUR To 1 USD Valued At 0.81069272 EUR For 2,270.33 USD Net Cost 2,270.33 USD 1,840.54 Units At 1 EUR Fx5591057","9,768.59"
04/05/18,Purchase,"Purchased 1,314.66 Units Of -1,621.65 1,621.65 Euro Trade Date 4/4/18 Value Date 4/5/18 Book Value 1,314.66 EUR Traded At 0.81069281 EUR To 1 USD Valued At 0.81069281 EUR For 1,621.65 USD Net Cost 1,621.65 USD 1,314.66 Units At 1 EUR Fx5591056","8,146.94"
04/05/18,Purchase,"Purchased 1,956.58 Units Of -2,045.44 2,045.44 Swiss Franc Trade Date 4/4/18 Value Date 4/5/18 Book Value 1,956.58 CHF Traded At 0.95655702 CHF To 1 USD Valued At 0.95655702 CHF For 2,045.44 USD Net Cost 2,045.44 USD 1,956.58 Units At 1 CHF Fx5591259","6,101.50"
04/05/18,Purchase,"Purchased 20 Shares Of -2,418.40 2,418.40 Shopify Inc A Trade Date 4/3/18 Purchased Through J.P. Morgan Securities LLC Paid 0.20 USD Brokerage 20 Shares At 120.91 USD","3,683.10"
04/05/18,Purchase,"Purchased 100 Shares Of -2,471.00 2,471.00 Fanuc Corporation A D R Trade Date 4/3/18 Purchased Through J.P. Morgan Securities LLC Paid 1.00 USD Brokerage Purchased On The OTC Bulletin Board 100 Shares At 24.70 USD","1,212.10"
04/05/18,Purchase,"Purchased 10 Shares Of -1,212.10 1,212.10 Ferrari Nv Trade Date 4/3/18 Purchased Through J.P. Morgan Securities LLC Paid 0.10 USD Brokerage Purchased On The New York Stock Exchange, Inc. 10 Shares At 121.20 USD",0.00
04/05/18,Purchase,"Purchased 20 Shares Of -2,048.88 2,048.88 Ams Ag Net Cost 1,956.58 CHF Trade Date 4/3/18 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 0.98 CHF Brokerage Book Value 1,956.58 CHF Valued At 0.95495 CHF For 2,048.88 USD Fed Tax Cost Reduction 2,045.44- USD Fed ST Currency Gain Of 3.44 USD 20 Shares At 97.78 CHF","-2,048.88"
