Date Posted,Activity,Description,Principal Cash
01/02/19,Sale,"Sold 10,574.15 Units Of 10,574.15 -10,574.15 First Am Govt Ob Fd Cl X Trade Date 1/2/19 First Am Govt Ob Fd Cl X Interest From 12/1/18 To 12/31/18",0.00
01/03/19,Purchase,Purchased 123.3 Units Of -123.30 123.30 First Am Govt Ob Fd Cl X Trade Date 1/3/19 Transfer From Another Account,0.00
01/07/19,Purchase,"Purchased 2,704.58 Units Of -2,704.58 2,704.58 First Am Govt Ob Fd Cl X Trade Date 1/7/19",0.00
01/08/19,Sale,Sold 405.97 Units Of 405.97 -405.97 First Am Govt Ob Fd Cl X Trade Date 1/8/19 Transfer From Another Account 16664 00- -A -UC-UZ -001-04,0.00
01/09/19,Purchase,"Purchased 35,594.27 Units Of -35,594.27 35,594.27 First Am Govt Ob Fd Cl X Trade Date 1/9/19",0.00
01/10/19,Sale,"Sold 8,338.29 Units Of 8,338.29 -8,338.29 First Am Govt Ob Fd Cl X Trade Date 1/10/19",-30.00
01/11/19,Sale,Sold 30 Units Of 30.00 -30.00 First Am Govt Ob Fd Cl X Trade Date 1/11/19,0.00
01/14/19,Sale,"Sold 1,652.23 Units Of 1,652.23 -1,652.23 First Am Govt Ob Fd Cl X Trade Date 1/14/19 Transfer From Another Account",0.00
01/17/19,Purchase,"Purchased 5,600 Units Of -5,600.00 5,600.00 First Am Govt Ob Fd Cl X Trade Date 1/17/19 Askul Corp Npv 18 JPY/Share On 3,000 Shares Due 1/21/19 Received 54,000 JPY Valued At 109.81 JPY For 491.76 USD 16664 00- -A -UC-UZ -001-04",0.00
01/22/19,Sale,"Sold 45,730.00 Units Of 416.45 -416.45 Yen Trade Date 1/21/19 Value Date 1/22/19 Book Value 45,730 JPY Traded At 109.81 JPY To 1 USD Valued At 109.81 JPY For 416.45 USD Net Proceeds 416.45 USD Repatriating Askul Corp Npv Transfer To Income Askul Corp Npv Repatriating Askul Corp Npv Transfer From Principal Askul Corp Npv Repatriating Askul Corp Npv",832.90
01/22/19,Sale,"Sold 15,242.66 Units Of 15,242.66 -15,242.66 First Am Govt Ob Fd Cl X Trade Date 1/22/19","16,075.56"
01/22/19,Purchase,"Purchased 5,000 Shares Of -21,422.47 21,299.08 Ds Smith Plc Net Cost 21,422.47 USD Trade Date 1/17/19 Purchased Through Crst 784 Jpmorgan Secs Ltd Paid 10.66 USD Brokerage Paid 107.24 USD Misc Fee1 Book Value 16,561.63 GBP Traded At 0.77309619 GBP To 1 USD Valued At 0.777575 GBP For 21,299.08 USD 5,000 Shares At 3.29400053 GBP 16664 00- -A -UC-UZ -001-04","-5,346.91"
01/22/19,Purchase,"Purchased 500 Shares Of -50,016.08 50,025.31 Orpea Net Cost 50,016.08 USD Trade Date 1/17/19 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 24.92 USD Brokerage Paid 149.55 USD Misc Fee1 Book Value 43,903.01 EUR Traded At 0.87777811 EUR To 1 USD Valued At 0.877616 EUR For 50,025.31 USD 500 Shares At 87.49978321 EUR","-55,362.99"
01/22/19,Sale,"Sold 800 Shares Of 56,195.89 -77,690.13 Fnac Darty Eur1 Net Proceeds 56,195.89 USD Trade Date 1/17/19 Sold Through Jpmsgb2l Jp Morgan Sec London Paid 28.11 USD Brokerage Book Value 66,529.43 EUR Local Proceeds 49,335.32 EUR Traded At 0.87791687 EUR To 1 USD Valued At 0.877616 EUR For 56,215.16 USD 800 Shares At 61.6999978 EUR 45,730 Yen 99999JPY3",832.90
01/23/19,Sale,"Sold 75,726.33 Units Of 75,726.33 -75,726.33 First Am Govt Ob Fd Cl X Trade Date 1/23/19","76,142.78"
01/23/19,Purchase,"Purchased 250 Shares Of -76,142.78 76,142.78 Lvmh Moet Hennessy Vuitton SE Net Cost 76,142.78 USD Trade Date 1/9/19 Purchased Through Jpmsgb2l Jp Morgan Sec London Book Value 66,549.63 EUR Traded At 0.874011 EUR To 1 USD Valued At 0.874011 EUR For 76,142.78 USD 250 Shares At 266.19850916 EUR Transfer From Another Account 16664 00- -A -UC-UZ -001-04",0.00
01/25/19,Purchase,"Purchased 20,592.83 Units Of -20,592.83 20,592.83 First Am Govt Ob Fd Cl X Trade Date 1/25/19 Ferrari Nv Book Decreased By 17.58 USD To 126,952.57 USD Fed Basis Decreased By 17.58 USD To 126,952.57 USD Through Tax Free Return Of Capital No Cash Received Return Of Capital Nontaxable Dividend Adjustment Transfer From Another Account",0.00
01/28/19,Purchase,"Purchased 7,492.52 Units Of -7,492.52 7,492.52 First Am Govt Ob Fd Cl X Trade Date 1/28/19 B H P Billiton Limited A D R 2.04 USD/Share On 1,650 Shares Due 1/30/19 Special Dividend Transfer From Another Account",0.00
01/31/19,Purchase,"Purchased 45,313.92 Units Of -45,313.92 45,313.92 First Am Govt Ob Fd Cl X Trade Date 1/31/19 16664 00- -A -UC-UZ -001-04",0.00
02/04/19,Purchase,Purchased 251.16 Units Of -251.16 251.16 First Am Govt Ob Fd Cl X Trade Date 2/4/19 Transfer From Another Account,0.00
