Date Posted,Activity,Quantity,Unit Type,Asset Name,Trade Date,Broker,Price Per Unit,Principal Cash
01/02/19,Sale,"10,574.15",Units,"10,574.15 -10,574.15 First Am Govt Ob Fd Cl X",1/2/19,,,0.00
01/03/19,Purchase,123.3,Units,First Am Govt Ob Fd Cl X,1/3/19,,,0.00
01/07/19,Purchase,"2,704.58",Units,First Am Govt Ob Fd Cl X,1/7/19,,,0.00
01/08/19,Sale,405.97,Units,405.97 -405.97 First Am Govt Ob Fd Cl X,1/8/19,,,0.00
01/09/19,Purchase,"35,594.27",Units,First Am Govt Ob Fd Cl X,1/9/19,,,0.00
01/10/19,Sale,"8,338.29",Units,"8,338.29 -8,338.29 First Am Govt Ob Fd Cl X",1/10/19,,,-30.00
01/11/19,Sale,30,Units,30.00 -30.00 First Am Govt Ob Fd Cl X,1/11/19,,,0.00
01/14/19,Sale,"1,652.23",Units,"1,652.23 -1,652.23 First Am Govt Ob Fd Cl X",1/14/19,,,0.00
01/17/19,Purchase,"5,600",Units,First Am Govt Ob Fd Cl X,1/17/19,,109.81 JPY,0.00
01/22/19,Sale,"45,730.00",Units,416.45 -416.45 Yen,1/21/19,,109.81 JPY,832.90
01/22/19,Sale,"15,242.66",Units,"15,242.66 -15,242.66 First Am Govt Ob Fd Cl X",1/22/19,,,"16,075.56"
01/22/19,Purchase,"5,000",Shares,"Ds Smith Plc Net Cost 21,422.47 USD",1/17/19,Crst 784 Jpmorgan Secs Ltd,3.29400053 GBP,"-5,346.91"
01/22/19,Purchase,500,Shares,"Orpea Net Cost 50,016.08 USD",1/17/19,Jpmsgb2l Jp Morgan Sec London,87.49978321 EUR,"-55,362.99"
01/22/19,Sale,800,Shares,"56,195.89 -77,690.13 Fnac Darty Eur1 Net Proceeds 56,195.89 USD",1/17/19,Jpmsgb2l Jp Morgan Sec London,61.6999978 EUR,832.90
01/23/19,Sale,"75,726.33",Units,"75,726.33 -75,726.33 First Am Govt Ob Fd Cl X",1/23/19,,,"76,142.78"
01/23/19,Purchase,250,Shares,"Lvmh Moet Hennessy Vuitton SE Net Cost 76,142.78 USD",1/9/19,"Jpmsgb2l Jp Morgan Sec London Book Value 66,549.63 EUR Traded At 0.874011 EUR To 1 USD Valued At 0.874011 EUR For 76,142.78 USD",266.19850916 EUR,0.00
01/25/19,Purchase,"20,592.83",Units,First Am Govt Ob Fd Cl X,1/25/19,,,0.00
01/28/19,Purchase,"7,492.52",Units,First Am Govt Ob Fd Cl X,1/28/19,,,0.00
01/31/19,Purchase,"45,313.92",Units,First Am Govt Ob Fd Cl X,1/31/19,,,0.00
02/04/19,Purchase,251.16,Units,First Am Govt Ob Fd Cl X,2/4/19,,,0.00
02/05/19,Purchase,"53,796.4",Units,First Am Govt Ob Fd Cl X,2/5/19,,,0.00
