,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
vix,0.015796199893336665,-0.3599193182452486,0.1008319481181844,0.18926759674879182,0.10206009806108729,0.4744168957702353,-0.23537176204195906,0.053197286051905664,0.21392187067401977,0.2912395452823285,0.140611372668046,0.08636718266817664,-0.018525128481097636,0.12118215235893436,0.5296238080274364,0.2203852155871395,0.0658658836004877,0.06699997816955872,-0.13492186095179198,-0.0394178810202748,-0.0018958087639304613,-7.130464338714683e-17,-1.2153184675898727e-16
vix_chg,-0.01209269762887191,-0.3759944048543354,-0.06726889933794097,-0.2850246755673567,0.15842849671923742,0.09363738770608562,-0.1697110230503886,-0.3969725787847785,-0.20089099885106476,0.06437304367462426,-0.13547133611440443,-0.5844472044865021,0.22725099895872744,0.2543333859643032,-0.08269577740962719,-0.12153713671781151,-0.04170610703449974,-0.05333400236566683,0.059615474602803545,0.04417482673493905,-0.0011852934748470196,6.079575220782998e-17,1.0539516617017302e-16
cpi_yoy,-0.26100385436183904,-0.16013371075534713,-0.0005893907341776472,0.35233858115178834,0.09724864074549917,-0.16039199210023466,0.06995102152114971,-0.11551561314706957,-0.12691288085752347,0.005284970915744715,0.08551932883512467,0.0721793388107233,0.0130783511604289,0.10094794019199303,-0.007936338588855625,0.09219301313784943,0.03655021525665143,0.09842575003511861,0.5557935468399396,-0.3276528101985597,-0.5037884485610392,-3.2779638519821375e-15,9.485746403045004e-16
core_cpi_yoy,-0.29324967626776544,-0.13627316330770975,0.06901682331204305,0.27773116434939593,-0.000673580644809504,-0.10560942487332775,0.13393909250175032,-0.026704162990762656,-0.01362188414802507,0.006305171478062032,-0.27317489428513875,-0.1375972875849246,-0.02641589751400872,-0.12554625860642404,-0.0061087078035372295,-0.0847150917893679,0.09962354407221376,-0.23484189163957975,-0.3909474562428726,-0.6119434459742977,0.2718142772129395,1.736770946514123e-15,-1.356178913793777e-16
pce_yoy,-0.27217990020622385,-0.14417723248267264,-0.012676512093232024,0.34798200640890764,0.09954727895480375,-0.13402104116605879,0.07418235005982139,-0.08359290413682553,-0.08215485787983735,0.004507400326460149,0.060662454612695156,0.04688834494943481,0.03202076210070987,0.06984238080042132,-0.050424227055126364,0.07905210634058454,0.030555190871707223,0.23506619332163164,0.25300942475113014,0.3571689832660377,0.6843977368329003,3.2713785393276927e-15,-3.475213238539689e-16
core_pce_yoy,-0.2966304201738804,-0.12074515630852253,0.0141524159241795,0.29754643065273767,0.04652315515555513,-0.09756380617946228,0.11768033293463194,-0.01422120635972324,0.018602061149515743,0.006448147450114164,-0.19802403876466532,-0.09422920036417537,-0.0015182991694141477,-0.09481595402445489,-0.052438672361416416,-0.03816415912865459,0.05498158571934191,0.10034657341338207,-0.4560055319091474,0.5448479210663427,-0.4509890809116204,-1.7747195808944413e-15,-4.83935534582684e-16
m2_yoy,0.20481502945883012,-0.059864659221348884,-0.21542129267261712,0.30829312910984813,0.18727211888270123,0.3486978399974499,-0.0705939107550606,0.12238981343423493,0.050518805308855795,-0.14521415454655928,0.3190393579094983,0.049932772255531284,0.22543276784857458,0.09466594758458027,-0.5578234876539955,-0.1745499780331731,0.28735136134350886,-0.00596119228920014,-0.1352616730672142,-0.07707856868225957,-0.014631110343401843,2.6710931046759867e-16,1.0484260126106944e-16
y10,-0.29059322607218013,0.09635224699132224,0.04565168303569433,-0.24724928980327437,-0.05711201617983416,-0.12696644040164654,0.0855335473682814,-0.004857990770568764,0.40656240947186506,0.32362228904689694,0.13525107304408776,-0.00823258673191685,0.19182865568805907,0.1445753910360376,-0.14266590789275943,0.048310728270709175,0.22861508387844634,0.03583119168824582,-0.00471263062923797,-0.03119112934990516,-0.004195227710625636,0.4581610289301896,0.4278877896665183
y2,-0.3231948397415699,0.07879479839262314,0.1195938251709818,-0.1875415406634269,-0.06138104365480036,0.00669544064105706,0.024648678748773852,-0.007689025811227235,0.14292342974835168,0.0884182206741977,0.13978998676605256,0.07579981039274768,0.179176310580907,0.12194417681549445,-0.06664114652810664,0.06754631050050146,0.17639963228652308,-0.22522213662456086,0.0140407307907809,0.051262636934720086,-0.004745686606366264,-0.8005082500844977,0.01924012870462379
y3m,-0.3092266950321087,0.12358806693537754,0.12524780475667124,-0.2228801182250363,-0.021009389584879922,0.12888132202090735,-0.03925101073818143,0.021815631716636943,0.11132885855391401,-0.0018819814753581073,0.025795675003115404,-0.05111915014730024,-0.033160737929505836,0.006676524340685822,-0.08461408735662605,-0.021024716020528203,0.21168859175948207,0.2789388372716226,0.003256980950819565,-0.07278484377817719,-0.002905085996316772,0.17202251322306455,-0.7891289711422237
