ticker,fsym_id,month,iso_currency,price_m,Shares,value_usd,usd_per_ccy
RAY.ST,B3MGHK-R,2018-04,SEK,130.9,200.0,345.38035557943584,0.11534224450588226
RAY.ST,B3MGHK-R,2018-05,SEK,112.0,800.0,1151.3058169021012,0.11348200589418411
RAY.ST,B3MGHK-R,2018-06,SEK,105.0,1600.0,2079.3553264168504,0.11072566360235214
RAY.ST,B3MGHK-R,2018-07,SEK,115.4,8000.0,12004.176946384907,0.11424967646598816
RAY.ST,B3MGHK-R,2018-08,SEK,147.4,8000.0,14154.519077125788,0.10966932028532028
RAY.ST,B3MGHK-R,2018-09,SEK,122.3,8000.0,12428.534137825965,0.11296958476305008
RAY.ST,B3MGHK-R,2018-10,SEK,115.3,8000.0,11006.545798564552,0.10905957967042923
RAY.ST,B3MGHK-R,2018-11,SEK,106.0,8000.0,10279.735138424636,0.11032656580209732
RAY.ST,B3MGHK-R,2018-12,SEK,96.5,8000.0,9570.379307879806,0.11135733872652054
RAY.ST,B3MGHK-R,2019-01,SEK,101.6,8000.0,9946.79398136437,0.11071745306253433
RAY.ST,B3MGHK-R,2019-02,SEK,102.6,8000.0,9599.001812133789,0.10795021057128906
RAY.ST,B3MGHK-R,2019-03,SEK,103.7,8000.0,9632.420821591018,0.10769479721784592
RAY.ST,B3MGHK-R,2019-04,SEK,120.7,8000.0,10680.19908022642,0.1051516979932785
RAY.ST,B3MGHK-R,2019-05,SEK,120.0,8000.0,10579.973607361317,0.1048872172832489
RAY.ST,B3MGHK-R,2019-06,SEK,132.6,8000.0,12336.27124161005,0.10789814591407776
RAY.ST,B3MGHK-R,2019-07,SEK,138.7,10000.0,15116.919200114162,0.10455580800771713
RAY.ST,B3MGHK-R,2019-08,SEK,170.6,15000.0,26701.406853900477,0.10232723504304886
RAY.ST,B3MGHK-R,2019-09,SEK,160.7,15000.0,25061.342489679155,0.10222230851650238
RAY.ST,B3MGHK-R,2019-10,SEK,154.7,15000.0,24974.638610364498,0.1036902368068695
RAY.ST,B3MGHK-R,2019-11,SEK,111.0,15000.0,18216.69350029528,0.10472849011421204
RAY.ST,B3MGHK-R,2019-12,SEK,107.2,15000.0,18465.127271465957,0.10701276361942291
RAY.ST,B3MGHK-R,2020-01,SEK,94.0,15000.0,15173.636508509517,0.10372582823038101
RAY.ST,B3MGHK-R,2020-02,SEK,82.75,30000.0,26503.746230471137,0.1035071313381195
RAY.ST,B3MGHK-R,2020-03,SEK,57.6,30000.0,17394.328552079198,0.09973251819610596
RAY.ST,B3MGHK-R,2020-04,SEK,74.9,30000.0,23377.781246745588,0.1016179621219635
RAY.ST,B3MGHK-R,2020-05,SEK,82.6,40000.0,36866.627612257005,0.10509169101715088
RAY.ST,B3MGHK-R,2020-06,SEK,86.5,40000.0,39833.96414415538,0.10725989192724228
RAY.ST,B3MGHK-R,2020-07,SEK,91.6,40000.0,48269.5063991934,0.11519277840852737
RAY.ST,B3MGHK-R,2020-08,SEK,96.9,40000.0,52159.89698436856,0.11606718599796295
RAY.ST,B3MGHK-R,2020-09,SEK,87.6,40000.0,43667.60028027892,0.11153681576251984
RAY.ST,B3MGHK-R,2020-10,SEK,75.4,40000.0,38010.41061415076,0.1121804341673851
RAY.ST,B3MGHK-R,2020-11,SEK,75.6,40000.0,41626.825176167484,0.11769150197505951
RAY.ST,B3MGHK-R,2020-12,SEK,82.7,40000.0,49351.92788242697,0.12211845815181732
RAY.ST,B3MGHK-R,2021-01,SEK,86.8,40000.0,49951.360678732395,0.11985089629888535
RAY.ST,B3MGHK-R,2021-02,SEK,93.1,88950.0,118712.96238655508,0.1204167827963829
RAY.ST,B3MGHK-R,2021-03,SEK,89.5,104750.0,123377.67539766141,0.11470744758844376
RAY.ST,B3MGHK-R,2021-04,SEK,83.4,104750.0,123487.9567798615,0.11952443420886993
RAY.ST,B3MGHK-R,2021-05,SEK,93.0,104750.0,141382.9578219509,0.12034548819065094
RAY.ST,B3MGHK-R,2021-06,SEK,87.4,104750.0,125677.64478770261,0.11739996820688248
RAY.ST,B3MGHK-R,2021-07,SEK,84.7,104750.0,120582.68169886294,0.1169373169541359
RAY.ST,B3MGHK-R,2021-08,SEK,70.8,104750.0,99541.16057433446,0.11594740301370621
RAY.ST,B3MGHK-R,2021-09,SEK,61.5,104750.0,83741.44383955396,0.11372269690036774
RAY.ST,B3MGHK-R,2021-10,SEK,61.1,134750.0,112831.999776036,0.11770092695951462
RAY.ST,B3MGHK-R,2021-11,SEK,53.9,134750.0,88326.85872702723,0.11035894602537155
RAY.ST,B3MGHK-R,2021-12,SEK,56.5,134750.0,93020.70719988568,0.11053619533777237
RAY.ST,B3MGHK-R,2022-01,SEK,46.15,34550.0,18129.91406123087,0.10613244026899338
RAY.ST,B3MGHK-R,2022-02,SEK,47.35,34550.0,18183.342901361844,0.10490460693836212
RAY.ST,B3MGHK-R,2022-03,SEK,51.7,34550.0,20753.2092953476,0.10827655345201492
RAY.ST,B3MGHK-R,2022-04,SEK,43.3,34550.0,15456.222803617848,0.10118088126182556
