month,ticker,fsym_id,sector,country,w_begin,ret_usd,contrib
2018-05,BAS1V.HE,BFP734-R,Technology,FI,0.12995391564087688,-0.08922213113026245,-0.011594765302201382
2018-05,AF.PA,FPW2T0-R,Industrials,FR,0.025794263253403837,-0.19439585636477796,-0.0050142978944439625
2018-05,OVS.MI,MP8K4H-R,Consumer Cyclicals,IT,0.02237745133912403,-0.18044365542568297,-0.004037869118741885
2018-05,PNDORA.CO,C6RB2B-R,Consumer Cyclicals,DK,0.013084119554527979,-0.2976422622252748,-0.003894386943435662
2018-05,SAX.DE,JCTTTN-R,Business Services,DE,0.02567382235831958,-0.10887051034611317,-0.0027951221426857037
2018-05,SODA,CBC387-R,Non-Energy Materials,IL,0.020447894489897464,-0.11884899999999998,-0.002430211812229823
2018-05,BCART.BR,VHJB07-R,Healthcare,BE,0.040570978541542055,-0.05261793478501364,-0.002134761103063048
2018-05,FNAC.PA,X9KJT3-R,Consumer Cyclicals,FR,0.02820951114057905,-0.026766374501849488,-0.0007550663397028342
2018-05,NTDOY,KRR3VZ-R,Technology,JP,0.02282702616543914,-0.027439199999999997,-0.0006263553363587176
2018-05,NAS.OL,QTFZXZ-R,Industrials,NO,0.003423915379929338,-0.18156483315437544,-0.0006216626246915702
2018-05,RAY.ST,B3MGHK-R,Healthcare,SE,0.002491375126035056,-0.1581843505030751,-0.0003940965561713723
2018-05,NOK,X699Q2-R,Technology,FI,0.03468214509733906,-0.010598899999999967,-0.0003675925876721858
2018-05,AM3D.DE,VJ2Q9P-R,Industrials,DE,0.035393952633897365,-0.008851217240280151,-0.0003132795637548114
2018-05,INTRUM.ST,D2Y4J9-R,Finance,SE,0.002219208004567668,-0.13215109712896578,-0.00029327077256100024
2018-05,BOOZT.ST,TY2YK8-R,Consumer Non-Cyclicals,SE,0.0044993226576635435,-0.06357364386438435,-0.00028603833626925746
2018-05,FAG.ST,BXLTC8-R,Industrials,SE,0.001703422609113198,-0.05680204637108699,-9.675789003240586e-05
2018-05,SCHA.OL,G4GNVN-R,Technology,NO,0.002650992182290903,-0.03403885511607074,-9.023673880683625e-05
2018-05,FANUY,GB0DHY-R,Industrials,JP,0.015531224336331263,-0.005248310000000034,-8.151267999661125e-05
2018-05,4751.T,G37DWR-R,Business Services,JP,0.00032948766640675936,-0.05460214507679406,-1.79907333621562e-05
2018-05,2678.T,JZY038-R,Consumer Non-Cyclicals,JP,0.00020880887103940355,-0.068402069754954,-1.4282958962290476e-05
2018-05,6861.T,R4NT59-R,Industrials,JP,0.00020295978048768135,0.0014526690679932397,2.948333951611526e-07
2018-05,6146.T,J4TH5K-R,Technology,JP,0.00023372045048345008,0.06965588473684003,1.6280004759517528e-05
2018-05,MTLS,CRHQ9D-R,Business Services,BE,0.02162224000192883,0.007506250000000048,0.0001623019390144793
2018-05,NOD.OL,CSQ76Z-R,Technology,NO,0.004010388842490263,0.046614008076813374,0.00018694029789500334
2018-05,DUST.ST,JTKY01-R,Technology,SE,0.0020983515219723126,0.09095959074480775,0.000190865195677346
2018-05,UMI.BR,L1YNFY-R,Non-Energy Materials,BE,0.029325209377693128,0.006941804195207846,0.0002035698614834186
2018-05,ESLT,QG6H7X-R,Industrials,IL,0.016680322862538857,0.036541900000000016,0.0006095306900106089
2018-05,AMS.SW,C5K9GL-R,Technology,AT,0.024301138877328512,0.03276937958515824,0.0007963332442228242
2018-05,ZAL.DE,PM6KP2-R,Consumer Cyclicals,DE,0.036133527763560894,0.02545549037752104,0.0009197966682912137
2018-05,G5EN.ST,TSHCZT-R,Technology,SE,0.0017681336351398375,0.5210828526712215,0.0009213441185026032
2018-05,UCB.BR,KNHDSG-R,Healthcare,BE,0.026523276521956286,0.035107503069670365,0.0009311660119122962
2018-05,RACE,RSKRFX-R,Consumer Cyclicals,IT,0.017698858404914957,0.05561489999999991,0.0009843202403035033
2018-05,BHP,CSSFF1-R,Non-Energy Materials,AU,0.026978207708828632,0.06481279999999989,0.0017485331805907655
2018-05,ASC.L,PP8053-R,Consumer Cyclicals,GB,0.03199427664070611,0.09264014007085009,0.0029639542694605407
2018-05,GWPH,D2DFTS-R,Healthcare,GB,0.019174725061927345,0.211271,0.004051063338558452
2018-05,ASML,GL3H8G-R,Technology,NL,0.09515588956978954,0.04351280000000002,0.00414049919167234
2018-05,ACSO.L,SRS2M0-R,Consumer Services,GB,0.029963844979003736,0.1495910436408865,0.004482322841902905
2018-05,BC.MI,LNW87G-R,Consumer Cyclicals,IT,0.029160390826733353,0.20372259912737922,0.005940630610792305
2018-05,SHOP,VC0Z7G-R,Finance,CA,0.057835795125092564,0.10498800000000008,0.006072064458593223
2018-05,BB,L8N0YK-R,Technology,CA,0.05286718831497461,0.12868600000000008,0.006803266995500827
2018-05,OCDO.L,LHPBFK-R,Industrials,GB,0.04419871668412551,0.6088598909060077,0.0269108258184822
2018-06,BB,L8N0YK-R,Technology,CA,0.04709153085362376,-0.18540199999999996,-0.008730864003323551
2018-06,ASC.L,PP8053-R,Consumer Cyclicals,GB,0.048534938983679915,-0.09298422171846699,-0.00451298352755076
